"product_id","name","description","price","stock","category_id","create_time","update_time"
"4","纯棉短袖T恤","100%纯棉材质，舒适透气，适合夏季","69.00","200","12","2021-05-05","2021-08-30"
"5","修身直筒牛仔裤","高弹力面料，修身设计，时尚百搭","229.00","120","13","2021-06-12","2021-09-15"
"6","轻便透气运动鞋","网面设计，轻便舒适，适合跑步和日常穿着","349.00","80","14","2021-07-18","2021-10-22"
"7","时尚棒球帽","可调节帽围，遮阳防晒，多种颜色可选","59.00","150","15","2021-08-25","2021-11-30"
"8","苹果iPad Pro","12.9英寸全面屏，M1芯片，高性能平板电脑","7999.00","50","17","2021-09-30","2022-01-05"
"9","苹果iPhone 14 Pro","6.1英寸超视网膜XDR显示屏，A16仿生芯片","8999.00","30","16","2021-10-15","2022-02-10"
"10","高性能轻薄笔记本电脑","16英寸，Intel i7处理器，16GB内存","8999.00","25","18","2022-11-30","2023-04-05"
"11","无线降噪蓝牙耳机","主动降噪，长续航，支持无线充电","699.00","60","19","2022-12-05","2023-05-10"
"12","4K超高清智能电视","55英寸，支持HDR10，内置智能系统","5999.00","20","20","2021-12-25","2022-04-30"
"13","双开门大容量冰箱","节能静音，风冷无霜，大容量设计","6999.00","15","21","2022-01-10","2022-05-15"
"14","智能电饭煲","4L容量，多功能烹饪，支持预约功能","499.00","40","22","2023-01-10","2023-06-15"
"15","快速加热微波炉","20L容量，一键加热，简单易用","699.00","30","23","2023-02-15","2023-07-20"
"16","现代简约布艺沙发","北欧风格，可拆洗面料，舒适坐感","3999.00","10","24","2022-02-15","2022-06-20"
"17","舒适双人床","优质松木框架，高密度海绵床垫","2999.00","15","25","2023-03-20","2023-08-25"
"18","实木餐椅","优质橡木材质，稳固耐用，适合家庭使用","299.00","50","26","2022-03-20","2022-07-25"
"19","简约办公桌","钢木结构，简约设计，适合家庭和办公室","799.00","30","27","2022-04-25","2022-08-30"
"20","记忆棉护颈枕头","符合人体工学设计，助眠护颈","129.00","100","28","2023-04-25","2023-09-30"
"21","陶瓷茶杯套装","4只装，手工陶瓷，优雅设计","99.00","200","29","2022-05-30","2022-09-05"
"22","陶瓷碗套装","6只装，手工陶瓷，简约设计","129.00","200","30","2023-05-30","2023-10-05"
"23","陶瓷盘子套装","6只装，耐用易清洗，适合家庭使用","159.00","150","31","2023-06-05","2023-11-10"
"24","竹制环保筷子","天然竹材，环保健康，10双装","19.00","500","32","2022-06-05","2022-10-10"
"25","不锈钢勺子套装","4只装，304不锈钢，耐用易清洗","29.00","400","33","2022-07-10","2022-11-15"
"26","高效去污洗衣液","3kg装，深层去污，温和不伤手","49.00","100","34","2022-08-15","2022-12-20"
"27","滋养修护洗发水","500ml，含植物精华，修复受损发质","69.00","80","35","2022-09-20","2023-01-25"
"28","软毛牙刷套装","4只装，超细软毛，保护牙龈","19.00","300","36","2022-10-25","2023-02-28"
"29","美白防蛀牙膏","120g，含氟配方，有效美白防蛀","19.00","200","37","2023-07-10","2023-12-15"
"30","纯棉毛巾套装","3条装，柔软吸水，适合家庭使用","59.00","150","38","2023-08-15","2024-01-20"
"33","地板清洁液 - 50%天然植物配方","含有50%天然植物配方的地板清洁液，清洁同时呵护地板","45.00","180","43","2025-01-01","2025-01-25"
"36","水晶杯","捷克进口","150.00","180","9","2018-08-09","2020-08-09"
"35","马克杯","捷克进口","200.00","600","18","2024-08-15","2025-03-05"
"3","传统手工桃酥","酥脆香甜，传统工艺制作，独立包装","30.00","300","11","2021-11-20","2025-02-09"
"31","3in1速溶咖啡100%纯正咖啡豆","三合一速溶咖啡，采用100%纯正咖啡豆研磨，口感醇厚","50.00","300","40","2024-11-10","2025-02-09"
"32","天然草本茶包 - 90%菊花成分","富含90%菊花成分的天然草本茶包，清热去火","60.00","250","41","2024-12-05","2025-02-09"
"34","新商品-咖啡豆","100%阿拉比卡咖啡豆，中度烘焙","179.80","50","1","2023-12-01","2025-02-09"
"1","红烧牛肉面","精选牛肉，搭配手工拉面，汤底浓郁","81.00","96","10","2021-03-15","2025-02-09"
"2","老北京炸酱面","传统炸酱配方，搭配黄瓜丝和豆芽","60.00","148","10","2021-04-10","2025-02-09"
"37","青瓷碗","浙江龙泉","20.00","120","35","2008-03-05","2009-04-05"
